SNID RA DEC SURVEY SUBCLASS REDSHIFT_FINAL SIGMA_Z LOG_HOSTMASS LOG_HOSTMASS_ERR LOG_HOSTSFR LOG_HOSTSFR_ERR GRIZ_T0 GRIZ_T0_ERR GRIZ_MU GRIZ_MU_ERR GRIZ_THETA GRIZ_THETA_ERR GRIZ_AV GRIZ_AV_ERR GRIZ_REDCHI2 GRI_T0 GRI_T0_ERR GRI_MU GRI_MU_ERR GRI_THETA GRI_THETA_ERR GRI_AV GRI_AV_ERR G_MU G_MU_ERR R_MU R_MU_ERR I_MU I_MU_ERR Z_MU Z_MU_ERR Z_THETA Z_THETA_ERR LOWRV_GRI_T0 LOWRV_GRI_T0_ERR LOWRV_GRI_MU LOWRV_GRI_MU_ERR LOWRV_GRI_THETA LOWRV_GRI_THETA_ERR LOWRV_GRI_AV LOWRV_GRI_AV_ERR HIGHRV_GRI_T0 HIGHRV_GRI_T0_ERR HIGHRV_GRI_MU HIGHRV_GRI_MU_ERR HIGHRV_GRI_THETA HIGHRV_GRI_THETA_ERR HIGHRV_GRI_AV HIGHRV_GRI_AV_ERR LOWRV_GRIZ_T0 LOWRV_GRIZ_T0_ERR LOWRV_GRIZ_MU LOWRV_GRIZ_MU_ERR LOWRV_GRIZ_THETA LOWRV_GRIZ_THETA_ERR LOWRV_GRIZ_AV LOWRV_GRIZ_AV_ERR HIGHRV_GRIZ_T0 HIGHRV_GRIZ_T0_ERR HIGHRV_GRIZ_MU HIGHRV_GRIZ_MU_ERR HIGHRV_GRIZ_THETA HIGHRV_GRIZ_THETA_ERR HIGHRV_GRIZ_AV HIGHRV_GRIZ_AV_ERR PEAKMAG_G_DUSTCORR PEAKMAG_G_DUSTCORR_ERR PEAKMAG_G_DUSTCORR_THETACORR PEAKMAG_G_DUSTCORR_THETACORR_ERR G_EXT PEAKMAG_R_DUSTCORR PEAKMAG_R_DUSTCORR_ERR PEAKMAG_R_DUSTCORR_THETACORR PEAKMAG_R_DUSTCORR_THETACORR_ERR R_EXT PEAKMAG_I_DUSTCORR PEAKMAG_I_DUSTCORR_ERR PEAKMAG_I_DUSTCORR_THETACORR PEAKMAG_I_DUSTCORR_THETACORR_ERR I_EXT PEAKMAG_Z_DUSTCORR PEAKMAG_Z_DUSTCORR_ERR PEAKMAG_Z_DUSTCORR_THETACORR PEAKMAG_Z_DUSTCORR_THETACORR_ERR Z_EXT N_G_OBS FIRST_G_OBS N_R_OBS FIRST_R_OBS N_I_OBS FIRST_I_OBS N_Z_OBS FIRST_Z_OBS
2016W 37.6654873 42.2359685 FOUNDATION SNIa-norm 0.018508671088716983 6.7e-05 11.007793785184122 0.08241268985397492 -0.387913869917066 0.7293569376212536 57417.92709999999 0.19772604785398604 34.477106500000005 0.04736157585796757 1.2751348939999998 0.1444800422902027 0.22263273450000004 0.05622707063571585 1.2000708807403928 57417.9065 0.20583427800034357 34.4493855 0.06533920798226744 1.34892236 0.1559486075888605 0.2398473061 0.0691462025289918 34.7243969 0.08765287696584739 34.6618245 0.04192584393605009 34.572047999999995 0.057367941709634405 34.6233275 0.06491804890590915 0.9995837710000001 0.24975210067958697 57417.9165 0.2177102432132167 34.4640781 0.0624260473711896 1.3436322399999998 0.15389088776383222 0.2229424289 0.06702354939551526 57417.894100000005 0.2226548674518103 34.418862 0.06887223733842263 1.330994579 0.16902361100925442 0.27177994899999997 0.08125520150271587 57417.9391 0.2082815162223811 34.491382 0.03358841163258531 1.259942165 0.13978029629262406 0.21738895630000002 0.053074573842989456 57417.947100000005 0.20047840282661197 34.4440126 0.05378238671944559 1.281793374 0.1410860323356218 0.2500895347 0.0647779620134884 15.70084162977952 0.008528230759398743 15.42156102910157 0.06551930852959527 0.27094248012657796 15.739311667111838 0.018607249382881524 15.582343737876991 0.03228342116839668 0.17883168337555966 16.227828668083514 0.01103640290569696 16.138846206752653 0.019198812721958995 0.12922321838162049 16.342941267942198 0.008343742719450492 16.180585853882107 0.042116193863549985 0.10394095321701881 7 57410.29056 7 57410.29097 7 57410.29132 7 57410.29168
2016afk 155.6245508 15.0966103 FOUNDATION SNIa-norm 0.047581984200549834 6.7e-06 9.781785082662871 0.0745886131102762 0.024072123085308626 0.27771244912318216 57439.8535 0.4905178386154925 36.602949499999994 0.06324210907101416 -0.07510001477200001 0.1885016303645947 0.2357976865 0.07206323904131237 1.136288073520294 57439.6368 0.5712668028163275 36.5535867 0.07857190282225583 -0.2212736169105 0.22354048536287902 0.2971897024 0.08921815806110377 36.9228006 0.10740687165931222 36.7705867 0.07518243327473519 36.790209499999996 0.056155168415293784 36.7793918 0.0599144252476813 -0.1692429465352 0.32833981568830584 57439.6651 0.6050223053740033 36.576692800000004 0.06952784829232102 -0.20839082215899998 0.2103951076256802 0.27697387430000003 0.07826683653820928 57439.6275 0.53964224260163 36.51845759999999 0.08632087188067553 -0.2320688824484 0.23030470729560518 0.33819531300000005 0.1016764295350029 57439.858700000004 0.49200031504056135 36.6042105 0.05373448743358415 -0.057755652843 0.19118195191727758 0.22842029500000002 0.059581148184129476 57439.755800000006 0.5179443599460504 36.5724607 0.0739094723666055 -0.08065585821240001 0.1906497434314936 0.2621439294 0.0778885608780148 17.625029857915308 0.03160898293598572 17.537340667721374 0.06319593514933883 0.2869641345954869 17.663418184556562 0.03507848108071466 17.643665349435697 0.025226755357059295 0.18940654575150748 18.281982560126327 0.019112987210636354 18.334854001564356 0.023880834263972306 0.13686458105499477 18.3699974086094 0.04737781901244825 18.39435772233179 0.05727446538306412 0.11008729851080261 7 57437.39513 11 57437.39552 7 57437.39588 6 57437.39624
2019pmd 49.599161 -1.930453 YSE SNIa-norm 0.022365639365083692 0.00015 9.992840235983627 0.12291810365171679 0.49672970952292295 0.2386268017576038 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.3852737167747709 nan nan -9999.0 -9999.0 -9999.0 -9999.0 nan -9999.0 -9999.0 -9999.0 -9999.0 nan -9999.0 -9999.0 -9999.0 -9999.0 nan -9999.0 -9999.0 -9999.0 -9999.0 nan 0 nan 0 nan 0 nan 0 nan
2019szh 147.176208 -8.734392 YSE SNIa-norm 0.04981372813588259 0.00015 10.579207862302194 0.06014627896119525 -0.4966474386846042 0.32727969292661463 58779.046700000006 4.77139278513098 37.087609500000006 0.34227767122578995 0.574938513382 0.8153846053477599 0.35869890884800004 0.2198798524794611 0.6151251076255175 58779.343700000005 4.954147788469859 37.106295599999996 0.3316125325747507 0.5631646179219999 0.8278588550278535 0.3618177978672 0.2181550548473423 37.862635299999994 0.3446316175047061 37.6450472 0.36279073355332553 37.1415496 0.3161518107489501 nan nan nan nan 58779.0213 4.841098667657929 37.0852929 0.34415023908111725 0.6083781126497999 0.8590250479796527 0.34829398018 0.20982803319154705 58779.09220000001 4.970523026805096 37.0682537 0.3630981377896476 0.60475592552 0.8272954909140733 0.36649653757 0.2551644363781451 58779.09440000001 5.054507754470265 37.101393599999994 0.33870120773188866 0.600963041999 0.8228828893179055 0.34414037722 0.21316748298693702 58778.816199999994 5.17864823675056 37.0931979 0.341536049584213 0.5244365957039999 0.8748447125995099 0.35798447456 0.21591481315891572 18.098470640045807 0.16013686218487896 18.013657665675193 0.2739676850252925 0.4365340622538796 18.396969386013396 0.3092370934991837 18.476754426860843 0.49809252372107554 0.2881280232142334 18.658918305389957 0.15167395759791674 18.55854771539584 0.1818160006982181 0.20820041372358966 -9999.0 -9999.0 -9999.0 -9999.0 0.16746641767347858 2 58814.62 1 58817.63 2 58814.62 0 nan
2019tvv 177.772596 21.767258 YSE SNIa-norm 0.02789766645830697 1.67e-05 10.25814542385149 0.05162642044705933 -0.9348817738782166 0.32023244630827374 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.8748447125995099 nan nan -9999.0 -9999.0 -9999.0 -9999.0 nan -9999.0 -9999.0 -9999.0 -9999.0 nan -9999.0 -9999.0 -9999.0 -9999.0 nan -9999.0 -9999.0 -9999.0 -9999.0 nan 0 nan 0 nan 0 nan 0 nan
2019wka 48.667279 -0.871312 YSE SNIa-norm 0.03918304042191749 0.01 -9999.0 -9999.0 -9999.0 -9999.0 58842.935699999995 4.071768106118104 36.1334559 0.0827754879489696 -0.043401411248 0.20211379141204913 0.08187836986139001 0.06344259027523175 2.209791596994931 58840.9472 3.496033775580595 36.1217157 0.10609772836168549 -0.43315536446299996 0.2082979651195916 0.096329974437 0.08056482286448216 36.225919700000006 0.1516498464289034 36.2134111 0.083770664834356 36.154160399999995 0.11253313677241926 nan nan nan nan 58840.9787 3.4747685261035732 36.1293492 0.08226549373437216 -0.42747975896 0.20976149495100693 0.0815756963706 0.06101095200184735 58842.967599999996 3.99904116507932 36.125437299999994 0.08097572042723683 -0.044224599636 0.20315709262381623 0.0941173533586 0.06739152974378582 58841.0126 3.5779213574363364 36.1350605 0.08626711650304532 -0.437383723712 0.2139377404531175 0.08846198765189998 0.06691359524645675 58838.9345 0.5778925073055823 36.1208417 0.09994179331545931 -0.826975688 0.22370158602411083 0.091482876122 0.06933658600604789 17.002670376672025 0.0767342453201483 17.016590946875965 0.13848316196599927 0.09964540321884363 17.10654059093909 0.047803847774805966 17.15041556189238 0.048153756377286916 0.06576951384639738 17.80625383018186 0.0877342776701213 17.807169581834263 0.09982447614642746 0.04752484621406604 -9999.0 -9999.0 -9999.0 -9999.0 0.03822670475822818 5 58849.29 2 58849.29 3 58866.33 0 nan
2019wqf 217.500587 39.945841 YSE SNIa-norm 0.035113658529728586 0.000157 11.571455832511958 0.050053868909823336 1.4275201408745524 0.363751176143462 58837.366799999996 3.3037944488117694 35.5463765 0.21223985581824625 0.05989596018999999 0.6443326914867433 0.4773538255 0.1734534448719114 0.40755897784462686 58837.7807 3.1873339188105105 35.4997445 0.2948813654162468 0.21869370298000002 0.7406949198278328 0.49166942086999993 0.18039665116562967 36.1628994 0.3134045932969714 35.957420899999995 0.3795465579783197 35.8596189 0.3133467086675557 35.788330699999996 0.28008932644338663 -0.06650731422 1.0139689065208355 58837.5175 3.501934286933431 35.5450731 0.27066201821901426 0.13903576526 0.7144738427549793 0.4558308137 0.1728957223289546 58837.307799999995 3.7124950047103984 35.4740816 0.28409844195531947 0.11388047135000001 0.6764639902801983 0.52392801202 0.21708127243371445 58837.8015 3.0514075031040573 35.563258999999995 0.2040352388167298 0.1470088544 0.62582647423678 0.4536426671 0.16760400637399228 58837.358 3.2055508107033233 35.5311199 0.2176414203546511 0.024344779279999996 0.6367029214176215 0.5023823827999999 0.2021973491062468 16.398527911501905 0.1901669969824413 16.352094172392214 0.3801662660280354 0.5809362655916158 16.460540181351234 0.13432174636930155 16.41548953461111 0.1878077847230558 0.3834386186364168 17.258340696902405 0.21539202580239988 17.282916051228057 0.2746610344492119 0.27707155363484276 17.12868418052457 0.14568897764386748 17.159158198778698 0.29601143295962806 0.22286305630522835 3 58866.65 1 58868.65 1 58877.64 1 58866.66
2019wyp 196.654579 16.591372 YSE SNIa-norm 0.07802417764625687 1.12e-05 10.342767209741767 0.06302025759783768 0.2117479523916638 0.1610738911069384 58834.3522 6.0527609534823945 37.4825903 0.3539973538261409 0.03392617118 0.9964615259771475 0.1643171833983 0.14847726935026034 0.014685330420037699 58834.53589999999 5.885043856251136 37.4989247 0.3711848266294166 -0.02159276794 0.978902625875481 0.17117061827699998 0.1657469025804967 37.7337106 0.3266173377021496 37.630386 0.3613966095635099 nan nan nan nan nan nan 58834.9378 5.921179879044379 37.5162198 0.38081746557630475 -0.010969887900000015 1.023647069250747 0.169306380636 0.15146607122401126 58834.9093 5.739068174364153 37.4726614 0.357065776755544 0.039846662686 0.9252107699454928 0.18928771124000002 0.16360176983848443 58834.9511 6.021295441182024 37.5011643 0.37836676676937425 0.025455888793999994 0.9889241268555506 0.170042035091 0.1463634733358314 58834.3861 5.934761729842155 37.494162300000006 0.3449472408190996 -0.009946510518000001 0.9585130996704021 0.167531103643 0.15583490981161693 18.417336515364113 0.23154941010545088 18.37518597119317 0.3251924885114281 0.19997286246937404 18.493516573094364 0.1665468520594401 18.554462078796394 0.25902674768512524 0.13198920895726837 -9999.0 -9999.0 -9999.0 -9999.0 0.09537499201013186 -9999.0 -9999.0 -9999.0 -9999.0 0.07671506488348415 1 58874.6 1 58874.6 0 nan 0 nan
2019yfu 191.401508 1.183637 YSE SNIa-norm 0.08144581142198047 1.22e-05 9.510871568716022 0.2074988266853871 0.797191619254057 0.4602761665431062 58851.442 2.2285457141372333 37.949037600000004 0.1276777843880446 -0.14538464503 0.42644143749503804 0.13446914947900002 0.10851609990123603 0.6810569668747294 58851.4155 2.38216073135294 37.963546300000004 0.11834210360776078 -0.16085977568999998 0.4253196170047218 0.12128504651899999 0.0941790683417681 38.2269395 0.32213440879507116 38.212193 0.2196733466558926 38.0053751 0.11346234278380647 nan nan nan nan 58851.4705 2.288851185638869 37.950902 0.1329167017195356 -0.129330665509 0.41749706360367284 0.134230396404 0.10756758371306045 58851.2348 2.380237164653984 37.9510971 0.12344935415622894 -0.19133186401899996 0.4288137505850229 0.13231738839030002 0.10554255786807344 58851.287599999996 2.3900933538253795 37.9466246 0.12305921263700659 -0.3237734394299999 0.5539871217603113 0.172928171285 0.16803537789557718 58851.368700000006 2.315018425412621 37.914622900000005 0.14927717020894385 -0.18671896429100002 0.43672344852994005 0.168511263431 0.14194721100466415 18.933744348355454 0.14520840035548988 19.132458591345145 0.27702312494188297 0.16364801403610213 18.88991092855508 0.13704149762175605 18.83983351103404 0.26226899744050913 0.10801351570071709 19.500718943531506 0.1510206482725205 19.48163791323645 0.07494739688914194 0.07805023060845344 -9999.0 -9999.0 -9999.0 -9999.0 0.06277985852583169 4 58867.61 2 58871.64 2 58867.61 0 nan
2019yyb 135.953613 -5.566821 YSE SNIa-norm 0.0696674630820766 0.001 -9999.0 -9999.0 -9999.0 -9999.0 58854.1397 0.4009911595035822 37.402562700000004 0.07539826999812423 0.05060971284599999 0.26213009079796895 0.1182659535694 0.06901304227064292 0.24312732101261955 58854.2109 0.3593761121722395 37.3760495 0.09265834382153613 -0.004667901592999999 0.2734067493302309 0.14656522774 0.08145059974309775 37.673364500000005 0.10331699042146933 37.6187078 0.21527172178240223 37.4093968 0.08660797601699279 37.562217600000004 0.1791580046501969 -0.137515566954 0.9093328643168713 58854.164300000004 0.3543945682427126 37.3644571 0.07562202661652236 0.015960343098999998 0.25118493204979164 0.13974704118 0.0676461812640027 58854.1973 0.38491909539537467 37.3522653 0.10127768572548453 0.020300655272 0.26418176332349036 0.156520380531 0.09157613829566849 58854.1361 0.3911608237029457 37.397404699999996 0.07743279917392892 0.067682364053 0.2532868900989309 0.12151970115 0.06637038345838976 58854.106 0.35648842898472566 37.3888635 0.0917541535721954 0.083615063069 0.2522162387073442 0.13007182659 0.07510754053308293 18.357049604145676 0.019168492138557553 18.39248371753933 0.08555588995460828 0.14392883798778455 18.525169926468102 0.10541734500106524 18.569581443968502 0.17163245359561796 0.09499815743776699 18.995430826076202 0.021287071882738432 18.95151481004854 0.04533965447296897 0.06864537319514964 19.125377697699296 0.08528372694242543 19.113980347242755 0.1785874464208592 0.055215042723751495 4 58847.54 2 58847.54 3 58850.54 2 58865.5
