SNID,SURVEY,RA,DECL,SUBCLASS,REDSHIFT_FINAL,SIGMA_Z,LOG_HOSTMASS,LOG_HOSTMASS_ERR,LOWRV_GRI_T0,LOWRV_GRI_T0_ERR,LOWRV_GRI_MU,LOWRV_GRI_MU_ERR,LOWRV_GRI_THETA,LOWRV_GRI_THETA_ERR,LOWRV_GRI_AV,LOWRV_GRI_AV_ERR,HIGHRV_GRI_T0,HIGHRV_GRI_T0_ERR,HIGHRV_GRI_MU,HIGHRV_GRI_MU_ERR,HIGHRV_GRI_THETA,HIGHRV_GRI_THETA_ERR,HIGHRV_GRI_AV,HIGHRV_GRI_AV_ERR,LOWRV_GRIZ_T0,LOWRV_GRIZ_T0_ERR,LOWRV_GRIZ_MU,LOWRV_GRIZ_MU_ERR,LOWRV_GRIZ_THETA,LOWRV_GRIZ_THETA_ERR,LOWRV_GRIZ_AV,LOWRV_GRIZ_AV_ERR,HIGHRV_GRIZ_T0,HIGHRV_GRIZ_T0_ERR,HIGHRV_GRIZ_MU,HIGHRV_GRIZ_MU_ERR,HIGHRV_GRIZ_THETA,HIGHRV_GRIZ_THETA_ERR,HIGHRV_GRIZ_AV,HIGHRV_GRIZ_AV_ERR
2016afk,FOUNDATION,155.6245508,15.0966103,SNIa-norm,0.047581984200549834,6.7e-06,9.781785082662871,0.0745886131102762,57439.6651,0.6050223053740033,36.576692800000004,0.06952784829232102,-0.20839082215899998,0.2103951076256802,0.27697387430000003,0.07826683653820928,57439.6275,0.53964224260163,36.51845759999999,0.08632087188067553,-0.2320688824484,0.23030470729560518,0.33819531300000005,0.1016764295350029,57439.858700000004,0.49200031504056135,36.6042105,0.05373448743358415,-0.057755652843,0.19118195191727758,0.22842029500000002,0.059581148184129476,57439.755800000006,0.5179443599460504,36.5724607,0.0739094723666055,-0.08065585821240001,0.1906497434314936,0.2621439294,0.0778885608780148
2016W,FOUNDATION,37.6654873,42.2359685,SNIa-norm,0.018508671088716983,6.7e-05,11.007793785184122,0.08241268985397492,57417.9165,0.2177102432132167,34.4640781,0.0624260473711896,1.3436322399999998,0.15389088776383222,0.2229424289,0.06702354939551526,57417.894100000005,0.2226548674518103,34.418862,0.06887223733842263,1.330994579,0.16902361100925442,0.27177994899999997,0.08125520150271587,57417.9391,0.2082815162223811,34.491382,0.03358841163258531,1.259942165,0.13978029629262406,0.21738895630000002,0.053074573842989456,57417.947100000005,0.20047840282661197,34.4440126,0.05378238671944559,1.281793374,0.1410860323356218,0.2500895347,0.0647779620134884
ASASSN-15bc,FOUNDATION,61.5609874,-8.8856098,SNIa-91T-like,0.03662633834504269,9.7e-05,10.22960651804904,0.18004360080770537,57047.342899999996,0.33756420130092835,36.069582,0.06676029775248167,-0.5312956564,0.1674312242128934,0.20446299429999998,0.06642219367640742,57047.3109,0.3600155413311634,36.02823050000001,0.07419495750891682,-0.5112633017,0.18143590183762603,0.2393016256,0.07790098751952676,57047.210699999996,0.31983669270416737,36.038204400000005,0.045299762037344246,-0.5439206554099999,0.17415767585248823,0.2299605482,0.050890180955332404,57047.178700000004,0.33014589199318134,35.993344500000006,0.04994528435948688,-0.5378129865,0.17192735364303793,0.27749328500000003,0.06004021585082598
ASASSN-15fa,FOUNDATION,257.441766,62.9743041,SNIa-91T-like,0.028010177627617303,7.2e-06,11.072313541514644,0.05227179325858967,57104.397,0.25288534951637187,35.3014017,0.07182195546704355,0.9101851449999999,0.1896725061906442,0.22638467250000002,0.06958601346664467,57104.3575,0.23963253118064468,35.2594508,0.072709492360764,0.9180500819999999,0.18361804759869133,0.27201540639999994,0.0840125777825918,57104.311200000004,0.2140433600933764,35.2464615,0.046585333397433315,0.859832644,0.19226121797298917,0.28808899699999996,0.05472996228291219,57104.3083,0.20075136363190632,35.1845674,0.045866467459790616,0.871070875,0.1849216536007273,0.34678543,0.06365891096058036
ASASSN-15fs,FOUNDATION,284.6699231,43.4688739,SNIa-norm,0.02890873258726209,4.7e-05,10.470395196700196,0.14541730821869894,57113.075,0.3821190913838444,35.3450383,0.04314118847586357,-0.35611673741,0.17867422487689433,0.09613771621600001,0.05451558987382934,57113.044200000004,0.4047299840635326,35.3231109,0.06172196830294688,-0.34775471536,0.17674514642034178,0.11469870529,0.06636549312864747,57113.00209999999,0.37598615665999613,35.3205805,0.04871245107516141,-0.42833446140000003,0.13316207741285405,0.1275284579,0.0533208779537717,57113.0045,0.371658109019625,35.287652699999995,0.05838370365701393,-0.4211719527,0.13045136686548858,0.1602735055,0.06278272102112407
ASASSN-15go,FOUNDATION,92.8768856,-16.4841129,SNIa-norm,0.020285800518704173,0.00015,-9999.0,-9999.0,57122.079099999995,1.179327431208064,34.6658373,0.09700319880658562,-1.890355019,0.38895502609721944,0.6438896949999999,0.11203945236050547,57122.12209999999,1.2528853060037175,34.5387258,0.11734849012390412,-1.8325058349999999,0.3843919201258993,0.767716324,0.14257314548635386,57122.094,1.0777031131067876,34.644455900000004,0.062064931686017316,-1.793309691,0.3834786505414917,0.640049928,0.0880458160302965,57122.3826,1.1942768690718037,34.5434044,0.0760880559657031,-1.626634704,0.3809493863544505,0.7376834710000001,0.09846688344288733
ASASSN-15hg,FOUNDATION,148.4523991,9.1938997,SNIa-norm,0.031762239996044196,1.05e-05,10.689015447140422,0.06975714066838686,57132.52329999999,0.45618758203159837,35.7219595,0.0727747610765573,1.2938629409999998,0.17938940163336717,0.13548741034,0.07492451888722908,57132.498700000004,0.4480048102421157,35.7006304,0.08340406438441712,1.290347371,0.18582220090194648,0.16463534873000002,0.08726505265271091,57132.419700000006,0.396713889345985,35.7484072,0.04428099917752551,1.4676694259999998,0.16173638663190953,0.083010350659,0.04908157529221337,57132.3995,0.3961688402687412,35.745034999999994,0.0598565863961521,1.4611127689999999,0.14756396018397458,0.089833356257,0.05511413573173191
ASASSN-15il,FOUNDATION,239.284059,-12.6733113,SNIa-norm,0.02273626243125836,0.00015,10.176807380431187,0.08610532836513528,57162.55,0.4136423575988495,34.793486300000005,0.03175045924565517,-0.890409542,0.15630481531525584,0.043834318352599995,0.0337882170251321,57162.5301,0.39669130315636786,34.7880034,0.04643034577127315,-0.904962151,0.1671545500268066,0.046676452033400005,0.0367372476802623,57162.14230000001,0.33093913337637265,34.755376600000005,0.030345091076482273,-0.831011422,0.14900671895049536,0.0475075273283,0.033796286926877514,57162.156299999995,0.32753673076466167,34.7519465,0.04524850989535413,-0.842619743,0.1391803516922951,0.058329205318999995,0.039390828726721644
ASASSN-15jl,FOUNDATION,230.6711005,50.9766413,SNIa-norm,0.03616762100132619,9.6e-06,9.26208837009569,0.11637448089733282,57165.7289,0.2935554291783561,35.9013744,0.0625226472939205,-0.5924679839,0.1714906381117932,0.07215545057299999,0.045853816093458906,57165.6845,0.2654237178550062,35.8853042,0.06447914253741283,-0.6155272980000001,0.17546978513011,0.09905299104099999,0.058827933569574185,57165.79640000001,0.28983967982318437,35.9005532,0.04035336677106386,-0.6814075479999999,0.14561738508114921,0.09215688281000001,0.048370746762439375,57165.7781,0.2768219463844387,35.8881668,0.049838192761776395,-0.6868470050000001,0.15114304508937543,0.1096856073152,0.057869184907208326
ASASSN-15jt,FOUNDATION,197.0378119,27.826398,SNIa-norm,0.024435671427064386,1.02e-05,10.197269892376736,0.08085086224328389,57168.8618,0.2519935713464791,35.042824,0.06405108573630915,2.6837198399999997,0.1764513363111042,0.45044503299999994,0.06707776999835273,57168.8285,0.2499554960388915,34.9530477,0.07919651100086432,2.7008292799999998,0.1710730505932527,0.5389238029999999,0.0841009931554449,57168.6625,0.22050793636515062,35.105929499999995,0.05366831243620403,2.84689836,0.16511607675120676,0.35139855,0.059831729901595694,57168.6127,0.20901844416220414,35.0519025,0.045623462864517406,2.85679659,0.16735390871226133,0.405654953,0.0659150593433154
ASASSN-15kx,FOUNDATION,334.0491267,37.4738061,SNIa-norm,0.016715930859074517,8.3e-05,10.567038990196146,0.07670308071062484,57192.4594,0.21640619214776888,34.6373694,0.050420401065838436,1.1988625539999997,0.18524174994707615,0.064140600458,0.0441276796352055,57192.4658,0.21732547020535894,34.626178800000005,0.04775675397846916,1.1943007,0.17419223759204083,0.0748356305897,0.049412416985710236,57192.234599999996,0.1960174482033035,34.5545264,0.04033066529379318,1.53207857,0.1492712268290681,0.0756448381104,0.04284483708237504,57192.239299999994,0.1838627477227302,34.5430061,0.04378472350934749,1.5279169,0.14465403184145958,0.08565829057100001,0.04687728166058638
ASASSN-15la,FOUNDATION,213.2133798,35.711184,SNIa-norm,0.02823983650716123,8e-06,10.936453149100071,0.06818509417268007,57188.9354,0.5385599688057312,35.236353,0.06074390925022835,-0.090661600131,0.19165005258237922,0.20574918034,0.07463561379526408,57188.86460000001,0.5562614852746844,35.1943061,0.07991132318257525,-0.094172631962,0.20561267715355394,0.2523265504,0.09166847096423514,57188.5987,0.5163606394756945,35.3617416,0.041663132736749466,-0.1314270797021,0.17349692810394624,0.082378359254,0.04872681074721788,57188.5495,0.5336101104739236,35.3581634,0.051198831826908035,-0.13681964104499997,0.18481178436333726,0.08454825683190001,0.050459787950880144
ASASSN-15lg,FOUNDATION,198.8867207,3.5006516,SNIa-norm,0.021690472279993114,9.2e-06,10.121729030081646,0.08292999968998682,57196.75320000001,0.18976237772577073,34.5282001,0.05825603994428395,1.59006921,0.17866555546292603,0.09560600111300001,0.05769486394046896,57196.73440000001,0.19803191661981004,34.506148,0.07089729188057896,1.596140657,0.18341878009030957,0.109940307638,0.06856478038463136,57196.7261,0.16373389997242585,34.5589467,0.051671827615345875,1.5170408199999998,0.1599117983643721,0.078299165298,0.04847383337079315,57196.714799999994,0.15537361423430246,34.5450526,0.05745067722176989,1.52092773,0.1669830019802827,0.08851644044700001,0.06005478902076744
ASASSN-15lu,FOUNDATION,200.3037005,40.2657395,SNIa-91T-like,0.0368047951359737,8.8e-06,10.061748907175886,0.07674242745438892,57200.7797,0.368860285202967,36.1070655,0.05692326518876103,0.5607843749720001,0.21225457568088013,0.053355807861000006,0.042003418357275356,57200.772899999996,0.35286766641330064,36.0988483,0.06671223468832395,0.5668222917000001,0.2113877113680359,0.06635680103,0.05014818438113831,57200.95240000001,0.26399666664553195,36.105036299999995,0.047033659780097874,0.778119218,0.1672178525430777,0.050198826233799995,0.051546742643622384,57200.9237,0.2583956462479877,36.1008984,0.06003482337310575,0.760758377,0.1806595797361238,0.048617850232899995,0.04006047205416909
ASASSN-15mf,FOUNDATION,213.5947749,2.9755197,SNIa-norm,0.026888835208789676,8e-06,10.79242377618863,0.08147427332151037,57213.1075,0.2994891483844731,35.2958099,0.035034908762404574,0.936098929,0.19041633834061078,0.032386655247999996,0.027800647059632012,57213.07609999999,0.29573432333768607,35.2804393,0.06075026226700619,0.9392571150000001,0.1773412045764711,0.047015417099000006,0.04414277298897662,57213.1565,0.29168090441439876,35.276291400000005,0.04335750530231174,0.934566109,0.18313369527549297,0.042617292392,0.030842073729994732,57213.1551,0.2967389256567339,35.2758277,0.0431727622779688,0.9291297059999999,0.17306098029166356,0.048362288232140005,0.038487204710173036
ASASSN-15mg,FOUNDATION,233.0940558,41.8503804,SNIa-norm,0.04308470628704075,1.18e-05,10.320134606621274,0.10353767802410642,57218.7495,0.31144782869679294,36.3615772,0.058132933008407855,1.103848908,0.2053367673816054,0.16676081049000002,0.0668965178167484,57218.719300000004,0.3408775586629519,36.3250228,0.07368615066727265,1.11487466,0.20665340232661644,0.19731213109999998,0.0807556409943687,57218.519700000004,0.3007688647450531,36.352513699999996,0.04251989254819421,1.001666032,0.18130415281958373,0.185852147,0.05722611978361604,57218.499599999996,0.3111267265922265,36.3299745,0.05902925511769572,1.000764106,0.19235335362752778,0.20812481249999998,0.07007306006702015
ASASSN-15mi,FOUNDATION,210.8154408,41.6041406,SNIa-91T-like,0.03646112404869105,5e-06,9.52698430624532,0.2682709478247339,57220.8341,0.26737088472771264,35.625021200000006,0.04972830954858624,-0.45713681096,0.1652284199793195,0.082655029056,0.047311417504942305,57220.8555,0.26292536963937285,35.6031227,0.06442953573253503,-0.4588990278900001,0.17601373637984508,0.10358002803,0.060938718318519644,57220.839900000006,0.24478151482494423,35.5569642,0.05628448719105464,-0.42091055231999996,0.17092898596176131,0.13643392539000002,0.05759867294714477,57220.868,0.25403936702799396,35.519141600000005,0.05618142957810878,-0.42082323118,0.16728428483905217,0.17474666888999998,0.06513928187808264
