SNID,SURVEY,REDSHIFT_FINAL,SIGMA_Z,LOG_HOSTMASS,LOG_HOSTMASS_ERR,PEAKMAG_G_DUSTCORR,PEAKMAG_G_DUSTCORR_ERR,PEAKMAG_G_DUSTCORR_THETACORR,PEAKMAG_G_DUSTCORR_THETACORR_ERR,G_EXT,PEAKMAG_R_DUSTCORR,PEAKMAG_R_DUSTCORR_ERR,PEAKMAG_R_DUSTCORR_THETACORR,PEAKMAG_R_DUSTCORR_THETACORR_ERR,R_EXT,PEAKMAG_I_DUSTCORR,PEAKMAG_I_DUSTCORR_ERR,PEAKMAG_I_DUSTCORR_THETACORR,PEAKMAG_I_DUSTCORR_THETACORR_ERR,I_EXT,PEAKMAG_Z_DUSTCORR,PEAKMAG_Z_DUSTCORR_ERR,PEAKMAG_Z_DUSTCORR_THETACORR,PEAKMAG_Z_DUSTCORR_THETACORR_ERR,Z_EXT
2016afk,FOUNDATION,0.047581984200549834,6.7e-06,9.781785082662871,0.0745886131102762,17.625029857915308,0.03160898293598572,17.537340667721374,0.06319593514933883,0.2869641345954869,17.663418184556562,0.03507848108071466,17.643665349435697,0.025226755357059295,0.18940654575150748,18.281982560126327,0.019112987210636354,18.334854001564356,0.023880834263972306,0.13686458105499477,18.3699974086094,0.04737781901244825,18.39435772233179,0.05727446538306412,0.11008729851080261
2016W,FOUNDATION,0.018508671088716983,6.7e-05,11.007793785184122,0.08241268985397492,15.70084162977952,0.008528230759398743,15.42156102910157,0.06551930852959527,0.27094248012657796,15.739311667111838,0.018607249382881524,15.582343737876991,0.03228342116839668,0.17883168337555966,16.227828668083514,0.01103640290569696,16.138846206752653,0.019198812721958995,0.12922321838162049,16.342941267942198,0.008343742719450492,16.180585853882107,0.042116193863549985,0.10394095321701881
ASASSN-15bc,FOUNDATION,0.03662633834504269,9.7e-05,10.22960651804904,0.18004360080770537,16.91355632338347,0.009660544004423706,17.10300205226826,0.018952930886047662,0.3031863383149557,16.989588538512134,0.005188342024134684,17.105893039247015,0.033496443338949744,0.20011377777307368,17.64124684694946,0.013029060681022376,17.664578301623802,0.01651167696229487,0.14460159362272765,17.6502219718655,0.02650475666395078,17.692737804806,0.02519372526760936,0.1163105799877217
ASASSN-15fa,FOUNDATION,0.028010177627617303,7.2e-06,11.072313541514644,0.05227179325858967,16.236170764462955,0.009064431152099319,16.110267840724667,0.03324400897721567,0.3756283746287493,16.288358906297407,0.021267402986601697,16.174367661483718,0.04641597544816498,0.24792810092792525,16.997056459324273,0.009345068468405549,16.982665124795744,0.02715604533971555,0.1791520748695713,16.923064030132274,0.020989399324345487,16.786126072433486,0.12608552741450682,0.1441013284296785
ASASSN-15fs,FOUNDATION,0.02890873258726209,4.7e-05,10.470395196700196,0.14541730821869894,16.38122852744313,0.012161323301339625,16.439452523433392,0.03471898134363896,0.17072401242900967,16.41345618817149,0.016142235284934824,16.422243403765,0.03342879351655428,0.11268392657012095,17.08816537959599,0.03392236528688353,17.11670613569421,0.04873233720023494,0.08142505498138865,16.940872019287674,0.019334796880253843,17.03133348794493,0.04450360623431065,0.06549440523544069
ASASSN-15go,FOUNDATION,0.020285800518704173,0.00015,-9999.0,-9999.0,15.665937060200248,0.01641717311509932,15.926158713473226,0.07219510177072176,0.8160571408313556,15.683995062457281,0.014732178983265587,15.81652985197265,0.12637956335250064,0.5386267674132872,16.372827782923487,0.023734403612576685,16.514235600727858,0.019589324837737527,0.3892100274282043,16.214081395476427,0.01895416038240157,16.37173020827651,0.053966766735062274,0.3130618611667662
ASASSN-15hg,FOUNDATION,0.031762239996044196,1.05e-05,10.689015447140422,0.06975714066838686,16.92751253249623,0.015976868983938373,16.70067770675069,0.03693022032085582,0.10877118270231276,16.88995227029642,0.014329980780280976,16.738647361433497,0.022771467875587554,0.07179285321488808,17.515526553204808,0.022420021099328297,17.43823551813683,0.03501626350830052,0.051877292513900296,17.630476024486605,0.05237895702548158,17.358581370576836,0.09844150223095029,0.04172760361291113
ASASSN-15il,FOUNDATION,0.02273626243125836,0.00015,10.176807380431187,0.08610532836513528,15.918689126191953,0.010719579466161217,15.985260225036809,0.05935481419268936,0.06161910395335588,16.002624807063828,0.013422702294572597,16.161652810145515,0.017485647879795077,0.04067080246303277,16.589329585790942,0.01694489789931362,16.66610832315409,0.015069425173949482,0.029388595405653382,16.42196177198703,0.01627157478281544,16.495192587994254,0.038446464784194265,0.023638775279159748
ASASSN-15jl,FOUNDATION,0.03616762100132619,9.6e-06,9.26208837009569,0.11637448089733282,16.628489374834555,0.00901746946020799,16.793215339393264,0.05932268641528765,0.1164230262695622,16.78300632066104,0.0159845395167736,16.80427137384416,0.026810619846418395,0.07684334240144305,17.43911013232748,0.012650901115589122,17.50992918177272,0.025619350257776344,0.055526760297064943,17.36640283316146,0.017578664298613773,17.561874131379795,0.023437718508767177,0.044663060296838496
ASASSN-15jt,FOUNDATION,0.024435671427064386,1.02e-05,10.197269892376736,0.08085086224328389,16.53881988755978,0.0168760302235777,16.28969226138167,0.05946249103936654,0.4509157786754519,16.46060181746571,0.01753341434689594,16.12892147762552,0.034419970263763665,0.2976204680914567,16.905971464977924,0.020264399069544657,16.710522635088488,0.03867692483053773,0.2150596248778507,17.331688561903203,0.023983559429524064,16.83342876041215,0.036806010058112786,0.17298363783421794
ASASSN-15kx,FOUNDATION,0.016715930859074517,8.3e-05,10.567038990196146,0.07670308071062484,16.035214849887492,0.009688113348950454,15.812257834543562,0.11568676584961249,0.0958977631368945,15.995597841359745,0.009349714514628422,15.839870560871882,0.03459665315155386,0.06329593796332589,16.53771229697666,0.01063584784352301,16.427548811696717,0.020976605895667105,0.0457374479718296,16.552573127054433,0.008056444978971402,16.243795530423398,0.02199431739526114,0.03678900742021711
ASASSN-15la,FOUNDATION,0.02823983650716123,8e-06,10.936453149100071,0.06818509417268007,16.294955118868327,0.010567429964016958,16.259352879754935,0.045937419127933275,0.09853281343464095,16.348789533764755,0.01570096216436716,16.401125204111707,0.060707269809674794,0.06503516497676844,16.964548762617778,0.021874151902339777,17.060439451379626,0.035186182600817795,0.04699420800411824,17.00077583955303,0.03288161973321982,17.15539074872258,0.05963699806842013,0.037799884856618365
ASASSN-15lg,FOUNDATION,0.021690472279993114,9.2e-06,10.121729030081646,0.08292999968998682,15.603198377078403,0.07268077177633357,15.340876304692307,0.12155502586472033,0.09985247975005072,15.685060261208696,0.027391205546390962,15.542626946447179,0.060993110938391173,0.06590619172963678,16.09941221275875,0.009754188582646412,15.975927022903788,0.017912777606204255,0.04762360922753436,16.321567071891828,0.02356590546099179,16.123213709177374,0.052957162560906705,0.038306144984923095
ASASSN-15lu,FOUNDATION,0.0368047951359737,8.8e-06,10.061748907175886,0.07674242745438892,17.014110711395688,0.014736840210006891,17.06107367381498,0.04252856349399673,0.051511215740559745,17.070536408580296,0.022550196567202502,16.930357023307412,0.045791578864151826,0.033999236366709165,17.687838801822593,0.038885562093847456,17.62953541523095,0.02860521710515407,0.024567742487761182,17.7903801969945,0.022361657100100095,17.713752899423664,0.025684825572543767,0.019761112627816657
ASASSN-15mf,FOUNDATION,0.026888835208789676,8e-06,10.79242377618863,0.08147427332151037,16.29085576450883,0.013999453462659569,16.15028205644973,0.03952488221367311,0.05460223139355753,16.280687559006946,0.004109103391253836,16.137695254147587,0.017116031791840132,0.0360394167485657,17.036652548614,0.016095834805757114,16.96120144145443,0.010456039885959292,0.026041970488338038,16.866097576732514,0.06087656371894165,16.770228906663288,0.10990888018266746,0.02094691085787353
ASASSN-15mg,FOUNDATION,0.04308470628704075,1.18e-05,10.320134606621274,0.10353767802410642,17.370386451850244,0.019306095542528497,17.210554993973364,0.044355974987057706,0.23460854185001534,17.412456848108768,0.013540384394591968,17.257443832924093,0.04416891103058471,0.15484999049880654,17.98980026148343,0.022118046104403214,17.929599290005264,0.04188584756985811,0.11189412167303833,18.042040157330064,0.020156402345306572,18.02150940347433,0.030448219163648593,0.09000225974661906
ASASSN-15mi,FOUNDATION,0.03646112404869105,5e-06,9.52698430624532,0.2682709478247339,16.408535904344355,0.012155596111638607,16.54991074227208,0.031247082862201306,0.18475997104712202,16.49204634683038,0.016345125746600995,16.546649537592117,0.0526598623517402,0.12194815898688366,17.186232530519298,0.018104544215685376,17.1912243846822,0.02177801169491352,0.08811936052128172,17.115947899720332,0.023006670546929862,17.059992738682105,0.05518341259008012,0.07087898323664471
